Nof Learners;alpha;batch_size;units;n_layers;l2_lambda;learning_rate;epochs;time_steps_in;coverage;avg_width;avg_width_transformed;cwc;coverage_conf;avg_width_conf;avg_width_transformed_conf;cwc_conf
1;0.05;16;32;1;0.0001;0.001;122.0;6;0.050632911392405;0.0482487417757511;7.3256087;3.79492949369719e-10;0.4177215189873418;0.175268580762721;26.61103127797759;0.0007689585465816
1;0.05;16;32;1;0.0001;0.001;138.0;12;0.0394736842105263;0.0309713911265134;4.585625171661377;2.1797791875330566e-10;0.3552631578947368;0.1584215470205133;23.45589590827373;0.0001145358304555
1;0.05;16;64;1;0.0001;0.001;123.0;6;0.1075949367088607;0.0364831164479255;5.53923225402832;6.352999343383664e-09;0.4556962025316455;0.1625704804114786;24.68307850887705;0.0022437782665911
1;0.05;16;64;1;0.0001;0.001;131.0;12;0.0526315789473684;0.0334208980202674;4.94829797744751;4.2667890271562204e-10;0.3947368421052631;0.1586862161902279;23.495082828308984;0.0003970230008159
1;0.05;32;32;1;0.0001;0.001;148.0;6;0.0759493670886076;0.0229122303426265;3.478764295578003;1.388610592930649e-09;0.4430379746835443;0.1495675739254255;22.70884701970091;0.0016182028461719
1;0.05;32;32;1;0.0001;0.001;177.0;12;0.0328947368421052;0.0256618969142436;3.7995002269744873;1.5584751899397715e-10;0.4539473684210526;0.1529598250876956;22.647233301794323;0.002165951206641
1;0.05;32;64;1;0.0001;0.001;147.0;6;0.1329113924050632;0.0387826338410377;5.888367652893066;2.0717177183033232e-08;0.4493670886075949;0.1647342776111021;25.01160787054475;0.0018882477445261
1;0.05;32;64;1;0.0001;0.001;125.0;12;0.07894736842105263;0.022577369585633278;3.3428056240081787;1.6106003239871117e-09;0.45394736842105265;0.1501358123415817;22.229109945077518;0.0021731724388755736
