Nof Learners;alpha;batch_size;units;n_layers;l2_lambda;learning_rate;epochs;time_steps_in;coverage;avg_width;cwc;coverage_conf;avg_width_conf;cwc_conf
2;0.05;32;64;2;0.0001;0.0001;561.0;6;0.0958605664488017;0.0381032646762333;7.711667883301152e-09;0.1808278867102396;0.0757098455659654;2.505174098433638e-07
2;0.05;32;128;2;0.0001;0.0001;383.6666666666667;6;0.1721132897603486;0.0433805228470701;3.84832035388242e-07;0.233115468409586;0.0673445160281937;2.747035278718966e-06
3;0.05;32;64;2;0.0001;0.0001;432.0;6;0.1154684095860566;0.0348813020863524;1.8448387551009257e-08;0.1808278867102396;0.0707077021678527;2.995654671537787e-07
3;0.05;32;128;2;0.0001;0.0001;451.3333333333333;6;0.2091503267973856;0.0275263148150324;7.551968343382064e-07;0.2592592592592592;0.0446546764033579;5.649046753535305e-06
6;0.05;32;64;2;0.0001;0.0001;784.3333333333334;6;0.0784313725490196;0.0460437116318233;1.584655439793052e-09;0.1350762527233115;0.0892806067191211;2.189154760318117e-08
6;0.05;32;128;2;0.0001;0.0001;895.6666666666666;6;0.32244008714596956;0.07968331677104241;7.001089070775555e-05;0.36601307189542487;0.0928170404523934;0.00029232975148409476
